"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","179.32","181.31","181.34","178.35","29.25M","-1.48%"
"05/29/2024","182.02","181.70","184.08","181.55","32.01M","-0.07%"
"05/28/2024","182.15","179.93","182.24","179.49","29.93M","0.77%"
"05/24/2024","180.75","181.65","182.43","180.30","27.47M","-0.17%"
"05/23/2024","181.05","183.66","184.76","180.08","33.67M","-1.14%"
"05/22/2024","183.13","183.88","185.22","181.97","28.15M","-0.01%"
"05/21/2024","183.15","182.30","183.26","180.75","50.84M","-0.21%"
"05/20/2024","183.54","184.34","186.66","183.28","30.51M","-0.63%"
"05/17/2024","184.70","183.76","185.30","183.35","33.18M","0.58%"
"05/16/2024","183.63","185.60","187.31","183.46","38.83M","-1.27%"
"05/15/2024","185.99","185.97","186.72","182.73","75.46M","-0.58%"
"05/14/2024","187.07","183.82","187.72","183.45","38.70M","0.27%"
"05/13/2024","186.57","188.00","188.31","185.36","24.90M","-0.49%"
"05/10/2024","187.48","189.16","189.89","186.93","34.14M","-1.07%"
"05/09/2024","189.50","188.88","191.70","187.44","43.37M","0.80%"
"05/08/2024","188.00","187.44","188.43","186.38","26.14M","-0.40%"
"05/07/2024","188.76","188.92","189.94","187.30","34.05M","0.03%"
"05/06/2024","188.70","186.28","188.74","184.80","34.73M","1.34%"
"05/03/2024","186.21","186.99","187.87","185.42","39.17M","0.81%"
"05/02/2024","184.72","180.85","185.10","179.91","54.30M","3.20%"
"05/01/2024","179.00","181.63","185.15","176.56","94.65M","2.29%"
"04/30/2024","175.00","181.09","182.99","174.80","94.64M","-3.29%"
"04/29/2024","180.96","182.75","183.53","179.39","54.06M","0.75%"
"04/26/2024","179.62","177.79","180.82","176.13","43.92M","3.43%"
"04/25/2024","173.67","169.68","173.92","166.32","49.25M","-1.65%"
"04/24/2024","176.59","179.94","180.32","176.18","34.19M","-1.64%"
"04/23/2024","179.54","178.08","179.93","175.98","37.05M","1.30%"
"04/22/2024","177.23","176.94","178.87","174.56","37.92M","1.49%"
"04/19/2024","174.63","178.74","179.00","173.44","56.00M","-2.56%"
"04/18/2024","179.22","181.47","182.39","178.65","30.72M","-1.14%"
"04/17/2024","181.28","184.31","184.57","179.82","31.36M","-1.11%"
"04/16/2024","183.32","183.27","184.83","182.26","32.89M","-0.16%"
"04/15/2024","183.62","187.43","188.69","183.00","48.05M","-1.35%"
"04/12/2024","186.13","187.72","188.38","185.08","38.61M","-1.54%"
"04/11/2024","189.05","186.74","189.77","185.51","40.02M","1.67%"
"04/10/2024","185.95","182.76","186.27","182.67","35.88M","0.15%"
"04/09/2024","185.67","187.24","187.34","184.20","36.55M","0.26%"
"04/08/2024","185.19","186.90","187.29","184.81","39.22M","0.06%"
"04/05/2024","185.07","182.38","186.27","181.97","42.37M","2.82%"
"04/04/2024","180.00","184.00","185.10","180.00","41.62M","-1.32%"
"04/03/2024","182.41","179.90","182.87","179.80","31.05M","0.95%"
"04/02/2024","180.69","179.07","180.79","178.38","32.61M","-0.15%"
"04/01/2024","180.97","180.79","183.00","179.95","29.17M","0.33%"
"03/28/2024","180.38","180.17","181.70","179.26","38.05M","0.31%"
"03/27/2024","179.83","179.88","180.00","177.31","33.27M","0.86%"
"03/26/2024","178.30","180.15","180.45","177.95","29.66M","-0.78%"
"03/25/2024","179.71","178.01","180.99","177.24","29.82M","0.47%"
"03/22/2024","178.87","177.75","179.26","176.75","28.00M","0.40%"
"03/21/2024","178.15","179.99","181.41","178.15","32.82M","0.00%"
"03/20/2024","178.15","176.14","178.53","174.64","29.95M","1.28%"
"03/19/2024","175.90","174.21","176.09","173.52","26.88M","0.81%"
"03/18/2024","174.48","175.80","176.69","174.28","31.25M","0.03%"
"03/15/2024","174.42","176.64","177.93","173.90","72.15M","-2.42%"
"03/14/2024","178.75","177.69","179.53","176.46","43.71M","1.24%"
"03/13/2024","176.55","175.90","177.62","175.55","30.77M","0.66%"
"03/12/2024","175.39","173.50","176.76","171.98","36.61M","1.99%"
"03/11/2024","171.96","174.31","174.47","171.47","28.48M","-1.93%"
"03/08/2024","175.35","176.44","178.79","174.33","37.89M","-0.83%"
"03/07/2024","176.82","174.83","177.99","173.72","34.06M","1.91%"
"03/06/2024","173.51","175.54","176.46","173.26","32.09M","-0.35%"
"03/05/2024","174.12","176.93","176.93","173.30","37.23M","-1.95%"
"03/04/2024","177.58","177.53","180.14","177.49","37.38M","-0.36%"
"03/01/2024","178.22","176.75","178.73","176.07","31.98M","0.83%"
"02/29/2024","176.76","173.01","177.22","172.85","53.81M","2.08%"
"02/28/2024","173.16","172.44","174.05","172.27","28.18M","-0.22%"
"02/27/2024","173.54","174.07","174.62","172.86","31.14M","-0.68%"
"02/26/2024","174.73","175.70","176.37","174.26","44.37M","-0.15%"
"02/23/2024","174.99","174.28","175.75","173.70","59.72M","0.23%"
"02/22/2024","174.58","173.10","174.80","171.77","55.39M","3.55%"
"02/21/2024","168.59","168.94","170.23","167.14","44.58M","0.90%"
"02/20/2024","167.08","167.83","168.71","165.74","41.98M","-1.43%"
"02/16/2024","169.51","168.74","170.42","167.17","48.11M","-0.17%"
"02/15/2024","169.80","170.58","171.17","167.59","49.86M","-0.69%"
"02/14/2024","170.98","169.21","171.21","168.28","42.82M","1.39%"
"02/13/2024","168.64","167.73","170.95","165.75","56.35M","-2.15%"
"02/12/2024","172.34","174.80","175.39","171.54","51.05M","-1.21%"
"02/09/2024","174.45","170.90","175.00","170.58","56.99M","2.71%"
"02/08/2024","169.84","169.65","171.43","168.88","42.32M","-0.40%"
"02/07/2024","170.53","169.48","170.88","168.94","47.17M","0.82%"
"02/06/2024","169.15","169.39","170.71","167.65","42.51M","-0.68%"
"02/05/2024","170.31","170.20","170.55","167.70","55.08M","-0.87%"
"02/02/2024","171.81","169.19","172.50","167.33","117.22M","7.87%"
"02/01/2024","159.28","155.87","159.76","155.62","76.54M","2.63%"
"01/31/2024","155.20","157.00","159.01","154.81","50.28M","-2.39%"
"01/30/2024","159.00","160.70","161.73","158.49","45.21M","-1.40%"
"01/29/2024","161.26","159.34","161.29","158.90","45.27M","1.34%"
"01/26/2024","159.12","158.42","160.72","157.91","51.05M","0.87%"
"01/25/2024","157.75","156.95","158.51","154.55","43.64M","0.56%"
"01/24/2024","156.87","157.80","158.51","156.48","48.55M","0.54%"
"01/23/2024","156.02","154.85","156.21","153.93","37.99M","0.80%"
"01/22/2024","154.78","156.89","157.05","153.90","43.69M","-0.36%"
"01/19/2024","155.34","153.83","155.76","152.74","51.65M","1.20%"
"01/18/2024","153.50","152.77","153.77","151.82","37.85M","1.18%"
"01/17/2024","151.71","151.49","152.15","149.91","34.95M","-0.95%"
"01/16/2024","153.16","153.53","154.99","152.15","41.38M","-0.94%"
"01/12/2024","154.62","155.39","156.20","154.01","40.48M","-0.36%"
"01/11/2024","155.18","155.04","157.17","153.12","49.07M","0.94%"
"01/10/2024","153.73","152.06","154.42","151.88","44.42M","1.56%"
"01/09/2024","151.37","148.33","151.71","148.21","43.81M","1.52%"
"01/08/2024","149.10","146.74","149.40","146.15","46.76M","2.66%"
"01/05/2024","145.24","144.69","146.59","144.53","45.15M","0.46%"
"01/04/2024","144.57","145.59","147.38","144.05","56.04M","-2.63%"
"01/03/2024","148.47","149.20","151.05","148.33","49.43M","-0.97%"
"01/02/2024","149.93","151.54","152.38","148.39","47.34M","-1.32%"
"12/29/2023","151.94","153.10","153.89","151.03","39.82M","-0.94%"
"12/28/2023","153.38","153.72","154.08","152.95","27.06M","0.03%"
"12/27/2023","153.34","153.56","154.78","153.12","31.43M","-0.05%"
"12/26/2023","153.41","153.56","153.98","153.03","25.07M","-0.01%"
"12/22/2023","153.42","153.77","154.35","152.71","29.51M","-0.27%"
"12/21/2023","153.84","153.30","153.97","152.10","36.31M","1.13%"
"12/20/2023","152.12","152.90","155.63","151.56","50.32M","-1.09%"
"12/19/2023","153.79","154.40","155.12","152.69","43.17M","-0.18%"
"12/18/2023","154.07","150.56","154.85","150.05","62.51M","2.73%"
"12/15/2023","149.97","148.38","150.57","147.88","110.09M","1.73%"
"12/14/2023","147.42","149.93","150.54","145.52","58.40M","-0.95%"
"12/13/2023","148.84","148.12","149.46","146.82","52.77M","0.92%"
"12/12/2023","147.48","145.52","147.50","145.30","44.94M","1.09%"
"12/11/2023","145.89","145.66","146.19","143.64","50.91M","-1.04%"
"12/08/2023","147.42","145.48","147.84","145.40","41.91M","0.37%"
"12/07/2023","146.88","146.15","147.92","145.34","52.35M","1.63%"
"12/06/2023","144.52","147.58","147.85","144.28","39.68M","-1.61%"
"12/05/2023","146.88","143.55","148.57","143.13","46.82M","1.41%"
"12/04/2023","144.84","145.25","145.35","142.81","48.29M","-1.49%"
"12/01/2023","147.03","146.00","147.24","145.55","39.95M","0.64%"
"11/30/2023","146.09","144.76","146.93","144.33","65.81M","-0.16%"
"11/29/2023","146.32","147.85","148.54","145.97","40.61M","-0.48%"
"11/28/2023","147.03","146.98","147.60","145.53","42.71M","-0.47%"
"11/27/2023","147.73","147.53","149.26","146.88","53.76M","0.67%"
"11/24/2023","146.74","146.70","147.20","145.32","22.38M","0.02%"
"11/22/2023","146.71","144.57","147.74","144.57","45.70M","1.95%"
"11/21/2023","143.90","143.91","144.05","141.50","71.23M","-1.53%"
"11/20/2023","146.13","145.13","146.63","144.73","41.98M","0.65%"
"11/17/2023","145.18","142.66","145.23","142.54","49.68M","1.65%"
"11/16/2023","142.83","140.91","143.32","139.52","49.65M","-0.26%"
"11/15/2023","143.20","147.06","147.29","142.59","63.88M","-1.78%"
"11/14/2023","145.80","145.00","147.26","144.68","56.67M","2.25%"
"11/13/2023","142.59","142.08","143.23","140.67","35.68M","-0.68%"
"11/10/2023","143.56","140.46","143.65","139.91","49.35M","2.11%"
"11/09/2023","140.60","142.02","142.65","139.84","36.24M","-1.04%"
"11/08/2023","142.08","142.97","143.12","141.22","44.52M","-0.44%"
"11/07/2023","142.71","140.55","143.37","140.50","53.55M","2.13%"
"11/06/2023","139.74","138.76","140.73","138.36","44.97M","0.82%"
"11/03/2023","138.60","138.99","139.49","137.45","44.06M","0.38%"
"11/02/2023","138.07","138.73","138.81","136.47","52.24M","0.78%"
"11/01/2023","137.00","133.96","137.35","133.71","61.53M","2.94%"
"10/31/2023","133.09","132.75","133.57","131.71","51.59M","0.29%"
"10/30/2023","132.71","129.72","133.00","128.56","72.49M","3.89%"
"10/27/2023","127.74","126.20","130.02","125.52","125.31M","6.83%"
"10/26/2023","119.57","120.63","121.64","118.35","100.42M","-1.50%"
"10/25/2023","121.39","126.04","126.34","120.79","74.58M","-5.58%"
"10/24/2023","128.56","127.74","128.80","126.34","46.48M","1.58%"
"10/23/2023","126.56","124.63","127.88","123.98","48.26M","1.11%"
"10/20/2023","125.17","128.05","128.17","124.97","56.41M","-2.52%"
"10/19/2023","128.40","130.57","132.24","127.47","60.96M","0.21%"
"10/18/2023","128.13","129.90","130.67","127.51","42.70M","-2.54%"
"10/17/2023","131.47","130.39","132.58","128.71","49.34M","-0.81%"
"10/16/2023","132.55","130.69","133.07","130.43","42.83M","2.13%"
"10/13/2023","129.79","132.98","133.31","128.95","45.82M","-1.92%"
"10/12/2023","132.33","132.17","134.48","131.23","55.53M","0.38%"
"10/11/2023","131.83","129.74","132.05","129.61","40.74M","1.81%"
"10/10/2023","129.48","128.82","130.74","128.05","42.18M","0.95%"
"10/09/2023","128.26","126.22","128.79","124.76","38.77M","0.23%"
"10/06/2023","127.96","124.16","128.45","124.13","46.84M","1.59%"
"10/05/2023","125.96","126.71","126.73","124.33","39.66M","-0.82%"
"10/04/2023","127.00","126.06","127.36","125.68","44.20M","1.83%"
"10/03/2023","124.72","128.06","128.52","124.25","51.57M","-3.66%"
"10/02/2023","129.46","127.28","130.47","126.54","48.03M","1.84%"
"09/29/2023","127.12","128.20","129.15","126.32","62.41M","0.90%"
"09/28/2023","125.98","124.04","126.58","123.04","54.56M","0.00%"
"09/27/2023","125.98","125.76","127.48","124.13","66.55M","0.00%"
"09/26/2023","125.98","130.12","130.39","125.28","73.05M","-4.03%"
"09/25/2023","131.27","129.36","131.78","128.77","46.02M","1.67%"
"09/22/2023","129.12","131.11","132.03","128.52","59.90M","-0.16%"
"09/21/2023","129.33","131.94","132.24","129.31","70.34M","-4.41%"
"09/20/2023","135.29","138.55","139.37","135.20","46.26M","-1.70%"
"09/19/2023","137.63","138.70","138.84","135.56","61.48M","-1.68%"
"09/18/2023","139.98","140.48","141.75","139.22","42.82M","-0.29%"
"09/15/2023","140.39","142.69","143.57","140.09","102.91M","-2.99%"
"09/14/2023","144.72","145.08","145.86","142.95","64.03M","-0.09%"
"09/13/2023","144.85","140.95","144.98","140.87","60.47M","2.56%"
"09/12/2023","141.23","142.32","143.00","140.61","42.67M","-1.31%"
"09/11/2023","143.10","138.75","143.62","138.64","56.76M","3.52%"
"09/08/2023","138.23","136.86","138.85","136.75","38.37M","0.28%"
"09/07/2023","137.85","133.90","138.03","133.16","48.50M","1.84%"
"09/06/2023","135.36","136.32","137.45","134.61","41.79M","-1.39%"
"09/05/2023","137.27","137.73","137.80","135.82","40.64M","-0.62%"
"09/01/2023","138.12","139.46","139.96","136.88","40.99M","0.08%"
"08/31/2023","138.01","135.06","138.79","135.00","58.78M","2.18%"
"08/30/2023","135.07","134.93","135.68","133.92","36.14M","0.12%"
"08/29/2023","134.91","133.38","135.14","133.25","38.65M","1.33%"
"08/28/2023","133.14","133.78","133.95","131.85","34.11M","-0.09%"
"08/25/2023","133.26","132.47","133.87","130.58","44.15M","1.08%"
"08/24/2023","131.84","136.40","136.77","131.83","43.65M","-2.72%"
"08/23/2023","135.52","134.50","135.95","133.22","42.80M","0.95%"
"08/22/2023","134.25","135.08","135.65","133.73","32.94M","-0.32%"
"08/21/2023","134.68","133.74","135.18","132.71","41.44M","1.10%"
"08/18/2023","133.22","131.62","134.07","131.15","48.50M","-0.57%"
"08/17/2023","133.98","135.46","136.09","133.53","48.35M","-0.81%"
"08/16/2023","135.07","137.19","137.27","135.01","41.68M","-1.89%"
"08/15/2023","137.67","140.05","141.28","137.23","42.78M","-2.06%"
"08/14/2023","140.57","138.30","140.59","137.75","47.15M","1.56%"
"08/11/2023","138.41","137.40","139.33","137.00","42.91M","-0.11%"
"08/10/2023","138.56","139.07","140.41","137.49","58.93M","0.52%"
"08/09/2023","137.85","139.97","140.32","137.10","50.02M","-1.49%"
"08/08/2023","139.94","140.62","140.84","138.42","51.71M","-1.60%"
"08/07/2023","142.22","140.99","142.54","138.95","71.21M","1.90%"
"08/04/2023","139.57","141.06","143.63","139.32","153.13M","8.27%"
"08/03/2023","128.91","127.48","129.84","126.41","91.16M","0.55%"
"08/02/2023","128.21","130.15","130.23","126.82","51.03M","-2.64%"
"08/01/2023","131.69","133.55","133.69","131.62","42.30M","-1.49%"
"07/31/2023","133.68","133.20","133.87","132.38","41.90M","1.11%"
"07/28/2023","132.21","129.69","133.01","129.33","46.32M","3.09%"
"07/27/2023","128.25","131.00","132.63","127.79","52.61M","0.08%"
"07/26/2023","128.15","126.51","129.08","126.11","53.91M","-0.76%"
"07/25/2023","129.13","129.31","129.58","128.53","39.24M","0.26%"
"07/24/2023","128.80","130.30","131.66","128.35","45.67M","-0.92%"
"07/21/2023","130.00","131.34","131.37","128.41","133.31M","0.03%"
"07/20/2023","129.96","134.07","134.79","129.33","59.82M","-3.99%"
"07/19/2023","135.36","133.39","135.99","132.53","54.53M","1.90%"
"07/18/2023","132.83","132.71","133.86","131.35","54.97M","-0.55%"
"07/17/2023","133.56","134.56","135.62","133.21","48.45M","-0.83%"
"07/14/2023","134.68","134.06","136.65","134.06","54.49M","0.28%"
"07/13/2023","134.30","134.04","134.67","132.71","61.17M","2.68%"
"07/12/2023","130.80","130.31","131.26","128.83","54.02M","1.57%"
"07/11/2023","128.78","127.75","129.77","127.35","49.95M","1.30%"
"07/10/2023","127.13","129.07","129.28","125.92","61.89M","-2.04%"
"07/07/2023","129.78","128.59","130.97","128.13","41.99M","1.11%"
"07/06/2023","128.36","128.25","128.73","127.37","40.70M","-1.55%"
"07/05/2023","130.38","130.24","131.40","129.64","35.90M","0.12%"
"07/03/2023","130.22","130.82","131.85","130.07","28.26M","-0.11%"
"06/30/2023","130.36","129.47","131.24","128.95","54.35M","1.92%"
"06/29/2023","127.90","128.77","129.26","127.25","40.76M","-0.88%"
"06/28/2023","129.04","128.94","131.48","128.44","52.15M","-0.11%"
"06/27/2023","129.18","128.63","130.09","127.55","46.80M","1.45%"
"06/26/2023","127.33","129.33","131.49","127.10","59.99M","-1.55%"
"06/23/2023","129.33","129.11","130.84","128.28","71.93M","-0.63%"
"06/22/2023","130.15","125.31","130.33","125.14","90.35M","4.26%"
"06/21/2023","124.83","125.64","126.73","123.85","52.14M","-0.76%"
"06/20/2023","125.78","124.97","127.25","124.50","56.93M","0.23%"
"06/16/2023","125.49","127.71","127.90","125.30","84.25M","-1.27%"
"06/15/2023","127.11","125.21","127.69","124.32","60.46M","0.55%"
"06/14/2023","126.42","126.70","126.95","124.12","52.42M","-0.19%"
"06/13/2023","126.66","128.12","128.41","125.18","50.56M","0.07%"
"06/12/2023","126.57","124.02","126.78","123.53","51.47M","2.54%"
"06/09/2023","123.43","124.08","125.80","123.19","51.40M","-0.66%"
"06/08/2023","124.25","123.01","125.63","122.26","62.16M","2.49%"
"06/07/2023","121.23","127.01","127.36","120.63","95.66M","-4.25%"
"06/06/2023","126.61","125.07","127.40","125.00","45.70M","1.05%"
"06/05/2023","125.30","123.36","125.80","123.03","47.95M","0.85%"
"06/02/2023","124.25","124.92","126.39","124.01","61.26M","1.21%"
"06/01/2023","122.77","120.69","123.49","119.93","54.38M","1.82%"
"05/31/2023","120.58","121.45","122.04","119.17","72.80M","-0.89%"
"05/30/2023","121.66","122.37","122.92","119.86","64.31M","1.29%"
"05/26/2023","120.11","116.04","121.50","116.02","96.78M","4.44%"
"05/25/2023","115.00","116.63","116.87","114.31","66.50M","-1.50%"
"05/24/2023","116.75","115.35","117.34","115.02","63.49M","1.53%"
"05/23/2023","114.99","114.27","117.14","113.78","67.58M","-0.02%"
"05/22/2023","115.01","116.77","116.77","114.25","70.74M","-1.07%"
"05/19/2023","116.25","118.16","118.31","115.70","55.06M","-1.61%"
"05/18/2023","118.15","116.69","118.60","116.33","73.17M","2.29%"
"05/17/2023","115.50","114.89","115.83","114.22","65.66M","1.85%"
"05/16/2023","113.40","111.05","114.79","111.05","71.47M","1.98%"
"05/15/2023","111.20","111.15","112.29","109.25","53.01M","0.85%"
"05/12/2023","110.26","112.16","112.64","109.32","49.85M","-1.71%"
"05/11/2023","112.18","111.03","113.28","110.49","74.92M","1.81%"
"05/10/2023","110.19","108.10","110.67","108.05","78.63M","3.35%"
"05/09/2023","106.62","105.48","106.79","105.16","44.09M","0.75%"
"05/08/2023","105.83","105.04","106.10","104.70","49.43M","0.17%"
"05/05/2023","105.65","104.27","105.76","103.55","56.95M","1.59%"
"05/04/2023","104.00","104.04","105.39","103.31","45.35M","0.34%"
"05/03/2023","103.65","103.74","105.96","103.28","65.05M","0.02%"
"05/02/2023","103.63","101.47","103.90","101.15","73.47M","1.55%"
"05/01/2023","102.05","104.95","105.23","101.82","74.73M","-3.22%"
"04/28/2023","105.45","107.73","109.48","104.33","130.72M","-3.98%"
"04/27/2023","109.82","108.16","110.86","106.80","149.96M","4.61%"
"04/26/2023","104.98","105.04","106.62","104.10","73.80M","2.35%"
"04/25/2023","102.57","104.91","105.45","102.45","65.03M","-3.43%"
"04/24/2023","106.21","107.65","109.23","105.07","69.58M","-0.70%"
"04/21/2023","106.96","106.10","108.15","105.08","86.77M","3.03%"
"04/20/2023","103.81","103.53","105.25","103.21","57.70M","-0.47%"
"04/19/2023","104.30","101.58","105.12","101.39","58.40M","1.96%"
"04/18/2023","102.30","103.95","104.20","101.52","39.79M","-0.43%"
"04/17/2023","102.74","103.16","103.73","101.59","39.92M","0.22%"
"04/14/2023","102.51","102.07","103.20","101.11","51.45M","0.11%"
"04/13/2023","102.40","98.95","102.57","98.71","67.93M","4.67%"
"04/12/2023","97.83","100.40","100.51","97.71","56.74M","-2.09%"
"04/11/2023","99.92","100.80","101.00","99.01","60.42M","-2.20%"
"04/10/2023","102.17","100.96","102.20","99.57","37.26M","0.11%"
"04/06/2023","102.06","100.75","102.38","99.80","43.81M","0.95%"
"04/05/2023","101.10","103.91","103.91","100.75","45.18M","-2.74%"
"04/04/2023","103.95","102.75","104.20","102.11","48.66M","1.50%"
"04/03/2023","102.41","102.30","103.29","101.43","41.14M","-0.85%"
"03/31/2023","103.29","102.16","103.49","101.95","56.75M","1.26%"
"03/30/2023","102.00","101.55","103.04","101.01","53.63M","1.75%"
"03/29/2023","100.25","98.69","100.42","98.56","49.78M","3.10%"
"03/28/2023","97.24","98.11","98.44","96.29","38.72M","-0.82%"
"03/27/2023","98.04","99.07","99.34","97.08","46.72M","-0.09%"
"03/24/2023","98.13","98.07","98.30","96.40","56.14M","-0.59%"
"03/23/2023","98.71","100.43","101.06","97.62","57.56M","0.01%"
"03/22/2023","98.70","100.45","102.10","98.61","57.48M","-1.90%"
"03/21/2023","100.61","98.14","100.85","98.00","58.60M","2.97%"
"03/20/2023","97.71","98.41","98.48","95.70","62.39M","-1.25%"
"03/17/2023","98.95","99.79","100.66","97.46","87.30M","-1.09%"
"03/16/2023","100.04","95.75","100.99","95.61","84.56M","3.99%"
"03/15/2023","96.20","93.22","96.67","93.07","70.73M","1.39%"
"03/14/2023","94.88","93.83","95.07","92.71","60.91M","2.65%"
"03/13/2023","92.43","89.97","94.02","88.12","72.40M","1.87%"
"03/10/2023","90.73","92.67","93.57","90.25","69.83M","-1.65%"
"03/09/2023","92.25","93.68","96.21","92.18","56.22M","-1.78%"
"03/08/2023","93.92","93.60","94.17","92.18","44.90M","0.40%"
"03/07/2023","93.55","94.06","95.09","92.78","49.10M","-0.21%"
"03/06/2023","93.75","95.19","96.54","93.74","52.11M","-1.21%"
"03/03/2023","94.90","92.74","94.94","92.66","55.76M","3.01%"
"03/02/2023","92.13","91.41","92.23","90.39","55.57M","-0.04%"
"03/01/2023","92.17","93.87","94.68","91.59","52.30M","-2.19%"
"02/28/2023","94.23","93.14","94.69","92.92","43.96M","0.50%"
"02/27/2023","93.76","94.28","94.78","93.14","47.47M","0.28%"
"02/24/2023","93.50","93.53","94.14","92.32","57.05M","-2.42%"
"02/23/2023","95.82","96.12","96.43","93.67","48.47M","0.03%"
"02/22/2023","95.79","95.10","97.01","94.80","59.53M","1.28%"
"02/21/2023","94.58","95.33","95.61","94.27","56.58M","-2.70%"
"02/17/2023","97.20","97.80","97.94","95.65","60.03M","-0.97%"
"02/16/2023","98.15","99.21","100.63","98.10","56.34M","-2.98%"
"02/15/2023","101.16","99.09","101.17","98.45","48.05M","1.46%"
"02/14/2023","99.70","98.41","100.92","97.52","56.20M","0.16%"
"02/13/2023","99.54","97.85","99.68","96.91","52.84M","1.98%"
"02/10/2023","97.61","97.56","98.82","96.23","52.74M","-0.64%"
"02/09/2023","98.24","101.32","101.78","97.57","64.62M","-1.81%"
"02/08/2023","100.05","102.04","102.67","98.78","75.88M","-2.02%"
"02/07/2023","102.11","101.17","102.41","98.08","119.50M","-0.07%"
"02/06/2023","102.18","102.93","103.95","100.65","81.95M","-1.17%"
"02/03/2023","103.39","105.26","108.78","102.52","144.37M","-8.43%"
"02/02/2023","112.91","110.25","114.00","108.88","158.15M","7.38%"
"02/01/2023","105.15","102.53","106.24","101.24","80.45M","1.96%"
"01/31/2023","103.13","101.15","103.35","101.14","66.53M","2.57%"
"01/30/2023","100.55","101.09","101.74","99.01","70.69M","-1.65%"
"01/27/2023","102.24","99.53","103.49","99.53","87.78M","3.04%"
"01/26/2023","99.22","98.24","99.49","96.92","68.52M","2.10%"
"01/25/2023","97.18","92.56","97.24","91.52","94.26M","0.89%"
"01/24/2023","96.32","96.93","98.09","96.00","66.93M","-1.23%"
"01/23/2023","97.52","97.56","97.78","95.86","76.50M","0.28%"
"01/20/2023","97.25","93.86","97.35","93.20","67.48M","3.81%"
"01/19/2023","93.68","94.74","95.44","92.86","69.00M","-1.86%"
"01/18/2023","95.46","97.25","99.32","95.38","79.57M","-0.61%"
"01/17/2023","96.05","98.68","98.89","95.73","72.76M","-2.11%"
"01/13/2023","98.12","94.18","98.37","94.12","85.55M","2.99%"
"01/12/2023","95.27","96.93","97.19","93.50","85.25M","0.19%"
"01/11/2023","95.09","90.93","95.26","90.93","103.13M","5.81%"
"01/10/2023","89.87","87.57","90.18","87.29","67.76M","2.87%"
"01/09/2023","87.36","87.46","89.48","87.08","65.27M","1.49%"
"01/06/2023","86.08","83.03","86.40","81.43","83.30M","3.56%"
"01/05/2023","83.12","85.33","85.42","83.07","67.93M","-2.37%"
"01/04/2023","85.14","86.55","86.98","83.36","68.89M","-0.79%"
"01/03/2023","85.82","85.46","86.96","84.21","76.71M","2.17%"
"12/30/2022","84.00","83.12","84.05","82.47","62.40M","-0.21%"
"12/29/2022","84.18","82.87","84.55","82.55","55.00M","2.88%"
"12/28/2022","81.82","82.80","83.48","81.69","58.23M","-1.47%"
"12/27/2022","83.04","84.97","85.35","83.00","57.28M","-2.59%"
"12/23/2022","85.25","83.25","85.78","82.93","57.43M","1.74%"
"12/22/2022","83.79","85.52","85.68","82.25","81.43M","-3.43%"
